weekday,logret
Monday,0.004279941724859941
Tuesday,0.000269469324306247
Wednesday,0.00209865992011082
Thursday,-0.0003900897388499791
Friday,0.0015438382076771657
Saturday,0.0014780872094765781
Sunday,0.00023836451419045237
