Date,Open,High,Low,Close,Volume,logret,ret
2014-09-17,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,21056800,,
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,34483200,-0.0746433511490503,-0.07192557601231186
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,-0.0724015083159868,-0.06984264508683824
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,36863600,0.03511123892408019,0.03573491642945337
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,-0.02496765857312777,-0.02465854454739269
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,0.008317415847791665,0.008352101649706567
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,0.08033258980830826,0.08364741783421215
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,30627700,-0.029306072958098284,-0.028880814347395978
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,-0.027867817193167888,-0.027483091679796234
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,21460800,-0.01752257126516721,-0.017369943788794973
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,-0.012202475999441909,-0.012128327693262664
2014-09-28,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,23613300,-0.057538621345173624,-0.055914572166871124
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700,-0.004554565208133354,-0.00454420890480145
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300,0.030109367868546677,0.030567238732558177
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,-0.008640560327417113,-0.008603337970520819
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,-0.022521436563614827,-0.0222697222086099
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,30901200,-0.042370445494221975,-0.04148536263261304
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,47236500,-0.0890971731632364,-0.08524332054467354
