,count,mean_logret,std_logret,median_ret,pct_up,avg_body,avg_range,max_drawdown
daily,4044.0,0.0013591176503919098,0.035636673263200504,0.0012670115735247123,0.5272007912957468,535.6017775266744,1063.264595495841,-0.8339900882218974
weekly,578.0,0.009760509427467203,0.09461695921410755,0.008960508676140844,0.5536332179930796,1490.4273449326881,3009.9845461201917,-0.830057313249164
monthly,134.0,0.04257177962476024,0.195832527803375,0.039968549920561314,0.5671641791044776,3344.533851851278,6697.4754561239215,-0.7557435061741204
yearly,12.0,0.5319457048003124,1.0863905166899912,0.9220344340849418,0.75,15955.057797749838,24397.666365305584,-0.7356177886907107
