halving,months,cumret
2012-11-28,6,
2012-11-28,12,
2016-07-09,6,0.3545338856129856
2016-07-09,12,2.778474115165014
2020-05-11,6,0.7931210154144526
2020-05-11,12,5.475763515318262
2024-04-20,6,0.08079330130273243
2024-04-20,12,0.3341093593386275
